id,city,site_name,site,state,query_name,to_date,to_time,from_date,from_time,pm25,pm10,SO2,CO,Ozone
2529,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20191205,06-Dec-2019,00:00,05-Dec-2019,00:00,261.02,526.63,14.75,2.93,38.14
2530,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20191207,08-Dec-2019,00:00,07-Dec-2019,00:00,293.3,525.03,25.0,3.56,27.51
2531,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20191209,10-Dec-2019,00:00,09-Dec-2019,00:00,246.08,483.27,25.89,2.96,31.39
2532,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20191211,12-Dec-2019,00:00,11-Dec-2019,00:00,295.91,587.59,14.45,4.07,11.62
2533,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20191213,14-Dec-2019,00:00,13-Dec-2019,00:00,107.4,161.53,8.15,0.74,31.7
2534,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20191215,16-Dec-2019,00:00,15-Dec-2019,00:00,107.48,219.68,7.5,0.99,23.18
2535,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20191217,18-Dec-2019,00:00,17-Dec-2019,00:00,110.8,214.0,11.86,1.12,24.19
2536,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20191219,20-Dec-2019,00:00,19-Dec-2019,00:00,325.11,515.78,11.51,2.31,9.91
2537,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20191221,22-Dec-2019,00:00,21-Dec-2019,00:00,252.52,419.17,11.27,1.68,13.19
2538,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20191223,24-Dec-2019,00:00,23-Dec-2019,00:00,200.24,356.38,10.85,1.39,20.26
2539,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20191225,26-Dec-2019,00:00,25-Dec-2019,00:00,180.21,334.62,6.74,1.11,15.29
2540,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20191227,28-Dec-2019,00:00,27-Dec-2019,00:00,260.55,532.15,11.82,2.04,19.14
2541,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20191229,30-Dec-2019,00:00,29-Dec-2019,00:00,388.06,706.69,12.17,2.53,16.37
2542,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20191231,01-Jan-2020,00:00,31-Dec-2019,00:00,256.57,331.82,15.29,2.48,17.97
2543,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20200102,03-Jan-2020,00:00,02-Jan-2020,00:00,455.22,561.03,41.49,3.63,12.24
2544,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20200104,05-Jan-2020,00:00,04-Jan-2020,00:00,214.89,405.46,13.17,1.69,19.54
2545,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20200106,07-Jan-2020,00:00,06-Jan-2020,00:00,182.3,365.53,11.22,1.26,13.48
2546,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20200108,09-Jan-2020,00:00,08-Jan-2020,00:00,127.95,156.87,12.99,1.46,8.12
2547,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20200110,11-Jan-2020,00:00,10-Jan-2020,00:00,155.97,305.73,11.8,1.45,15.38
2548,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20200112,13-Jan-2020,00:00,12-Jan-2020,00:00,250.98,379.68,33.93,1.88,23.54
2549,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20200114,15-Jan-2020,00:00,14-Jan-2020,00:00,110.41,180.16,11.92,1.06,21.19
2550,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20200116,17-Jan-2020,00:00,16-Jan-2020,00:00,165.54,233.11,13.76,1.34,8.92
2551,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20200118,19-Jan-2020,00:00,18-Jan-2020,00:00,140.36,267.37,11.13,1.51,6.12
